Empty,Book,Author,Version,Rating
,Models,Mark Manson,Audible,3
,Atomic habits,James Clear,Audible,3
,The rise of the ultra runners,Adharanand Finn,Kindle,3
,Outlive,Peter Attia,Audible,2
,Can't hurt me,David Goggins,Audible,2
,Do hard things,Steve Magness,Audible,2
,Drawdown,Paul Hawken,Kindle,2
,Money: Master the game,Tony Robbins,Audible,2
,Elon Musk,Walter Isaacson,Audible,2
,The almanack of Naval Ravikant,Eric Jorgenson,Audible,2
,Where good ideas come from,Steven Johnson,Audible,2
,Why we sleep,Matthew Walker,Audible,2
,Never split the difference,"Chris Voss, Tahl Raz",Audible,2
,The obstacle is the way,Ryan Holiday,Audible,2
,Think again,Adam Grant,Audible,2
,The last good kiss,James Crumley,Kindle,2
,The ministry for the future,Kim Stanley Robinson,Kindle,2
,Vagabonding,Rolf Potts,Kindle,2
,The three-body problem (book 1),CiXin Liu,Kindle,2
,How big things get done,Prof. Bent Flyvbjerg,Audible,2
,What do you care about what other people think?,"Richard P. Feynman, Ralph Leighton",Audible,1
,A supposedly fun thing I'll never do again,David Foster Wallace,Kindle,1
,The inner game of tennis,A. Timothy Gallwey,Audible,1
,Alone on the wall,Alex Honnold,Audible,1
,How to change your mind,Michael Pollen,Audible,1
,Principles,Ray Dalio,Audible,1
,Meditations,Marcus Aurelius,Kindle,1
,Life of Pi,Yann Martel,Kindle,0
,Algorithms to live by,Brian Christian,Audible,0
