Empty,Book,Author,Version,Rating
,The art of learning,Josh Waitzkin,Audible,3
,The wisdom of a bullfrog,Admiral William H. McRaven,Audible,3
,Seveneves,Neal Stephenson,Book,2
,The 4-hour workweek,Tim Ferriss,Audible,2
,Leaders eat last,Simon Sinek,Audible,2
,Triumph,Jeremy Schaap,Book,2
,Start with why,Simon Sinek,Audible,2
,Source code,Bill Gates,Audible,2
,The Pentagon's brain,Annie Jacobsen,Kindle,1
,The headspace guide to mindfulness & meditation,Andy Puddicombe,Audible,1
,The anxious generation,Jonathan Haidt,Kindle,1
,Brick by brick,David C. Robertson,Audible,1
,When everyone knows that everyone knows,Steven Pinker,Audible,1
